X,Y,OBJECTID,Objecttype,Type_fietsstalling,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Fietspomp,Objectcode,Aantal_plaatsen,Aantal_rijen
487432.560088141,6662248.22542163,529378,FIETSSTALLING,NIETJE_GROEP,VOETPAD,August Vermeylenlaan,13-15,,Antwerpen,2050,,FS_0254978,3,1
491031.743878237,6662853.52861653,529379,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Napelsstraat,2,od hoek,Antwerpen,2000,,FS_0254979,3,1
491043.593585239,6662853.64861743,529380,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Napelsstraat,1,thv 1 od hoek,Antwerpen,2000,,FS_0254980,3,1
490358.204190714,6661150.00864738,529381,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Kaasbrug,8,,Antwerpen,2000,,FS_0254981,2,1
490565.0789312,6656809.54941734,529382,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Lange Lozanastraat,201,,Antwerpen,2018,,FS_0254982,4,1
490570.328435181,6656791.49738477,529383,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Lange Lozanastraat,203,,Antwerpen,2018,,FS_0254982,2,1
490277.556275169,6659588.71871026,529384,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Oudaan,28,to 28,Antwerpen,2000,,FS_0254983,6,1
490262.569336951,6659559.31009339,529385,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Oudaan,26,tegen gevel 26,Antwerpen,2000,,FS_0254984,4,1
490075.144230131,6659551.34532886,529386,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Oudaan,4,to 4,Antwerpen,2000,,FS_0254985,2,1
491972.026367391,6656860.26095086,529387,FIETSSTALLING,NIETJE_GROEP,PLEIN,Professor Claraplein,1,,Antwerpen,2018,,FS_0254986,4,1
491986.041359408,6656896.07976721,529388,FIETSSTALLING,NIETJE_GROEP,PLEIN,Professor Claraplein,2,links gelegen van 1,Antwerpen,2018,,FS_0254987,3,1
491986.215243729,6656903.8537224,529389,FIETSSTALLING,NIETJE_GROEP,PLEIN,Professor Claraplein,2,gelegen in de doorsteek vh plein,Antwerpen,2018,,FS_0254988,3,1
489714.844002734,6659646.49990284,529390,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Nationalestraat,48,hoek,Berchem,2000,,FS_0254989,3,1
