X,Y,OBJECTID,GISID,TYPE,GC_NR,STRAATNAAM,HUISNUMMER,POSTCODE,SECTOR,OPMERKING,EBDD,ROUTE_WEEK,ROUTE_WEEKEND,FREQ_SLK,SLK_MA,SLK_DI,SLK_WO,SLK_DO,SLK_VR,SLK_ZA,SLK_ZO,FREQ_LEDIGING,LED_MA,LED_DI,LED_WO,LED_DO,LED_VR,LED_ZA,LED_ZO
497638.305481471,6656639.8263637,54477,GLASCONT_01024,mono glasbol groen,M1637,EKSTERLAAR,163,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
497600.628723309,6657257.79823779,54478,GLASCONT_01025,duo glasbol,D1166,SCHOGGESTRAAT,118,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
497940.442185719,6658464.43371349,54479,GLASCONT_01029,duo glasbol,D1238,NIEUWE DONK,12,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
498704.294694605,6658021.96359057,54480,GLASCONT_01030,duo glasbol,D1245,VAN STRYDONCKLAAN,400,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
497122.371464578,6658585.76184928,54481,GLASCONT_01031,mono glasbol wit,M2539,VAARTWEG,,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
497105.572511445,6658587.50896468,54482,GLASCONT_01032,mono glasbol groen,M2035,VAARTWEG,,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
496468.944419473,6656565.91221499,54483,GLASCONT_01035,duo glasbol,D1171,BOEKENBERGLEI,129,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
495793.586216894,6657920.88991706,54484,GLASCONT_01036,mono glasbol groen,M1655,VAN HAVREPLEIN,,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
495793.959641241,6657915.96091792,54485,GLASCONT_01037,mono glasbol wit,M1582,VAN HAVREPLEIN,,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
496295.923251434,6657974.81734032,54486,GLASCONT_01039,mono glasbol wit,M1530,ARENAPLEIN,,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
