X,Y,OBJECTID,GISID,TYPE,GC_NR,STRAATNAAM,HUISNUMMER,POSTCODE,SECTOR,OPMERKING,EBDD,ROUTE_WEEK,ROUTE_WEEKEND,FREQ_SLK,SLK_MA,SLK_DI,SLK_WO,SLK_DO,SLK_VR,SLK_ZA,SLK_ZO,FREQ_LEDIGING,LED_MA,LED_DI,LED_WO,LED_DO,LED_VR,LED_ZA,LED_ZO,Latitude,Longitude
488668.126382687,6648452.50957734,54291,GLASCONT_00618,duo glasbol,D1239,EDENPLEIN,4,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.153282318816316,4.389780467916177
485743.64151682,6649545.67859281,54292,GLASCONT_00620,duo glasbol,D1135,MOERELEI,153,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,,51.159441460712564,4.363509373384331
490795.044752009,6651548.58582043,54293,GLASCONT_00622,duo glasbol,D1015,KLAPROOSSTRAAT,,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.170724123988414,4.408886900708541
490430.960122166,6651078.8422019,54294,GLASCONT_00623,duo glasbol,A374,DOKTER DONNYPLEIN,30,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.168078238641264,4.405616272831532
489709.758950004,6651412.30787003,54295,GLASCONT_00624,duo glasbol,D1144,STEYTELINCKLEI,,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.169956538277695,4.399137612472752
489294.573096299,6650273.65792183,54296,GLASCONT_00628,duo glasbol,D1092,JOS OP DE BEECKLAAN,19,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.163542591797686,4.395407934491418
488880.780557334,6652517.77632387,54297,GLASCONT_00629,duo glasbol,D1102,OVERWINNINGSTRAAT,44,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,,51.17618272207326,4.3916907728693495
489010.473073922,6653870.06975416,54298,GLASCONT_00631,duo glasbol,D1058,POPULIERENLAAN,32,2020,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,,51.18379792237206,4.392855820568218
490225.327973072,6654308.23088679,54299,GLASCONT_00632,duo glasbol,D1095,EGLANTIERLAAN_ANT,1,2020,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.18626507915339,4.403769047807158
489003.42549792,6651033.84381625,54300,GLASCONT_00634,duo glasbol,D1104,OUDESTRAAT_WI,27,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.16782477205407,4.392792511115832
492873.029725529,6652824.26141566,54301,GLASCONT_00637,duo glasbol,D1226,RINGLAAN_WI,82,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,,51.17790874868276,4.427553757327379
