X,Y,OBJECTID,CODE_OBJECT,ROEPNAAM_ZZ_OBJECT,NAAM_ZAAL,HOOFDFUNCTIE_ACTIVITEITSTYPE,MAX_ZITTEND,MAX_STAAND,ORIG_FID
488751.163906463,6662097.84315767,100848,0000023087,Cultureel Centrum ter Schelde,Grote zaal,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",300,400,564
488751.163906463,6662097.84315767,100849,0000023087,Cultureel Centrum ter Schelde,Kleine zaal,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",50,80,565
491625.774624188,6670706.30818532,100850,0000008173,Ekerse Theaterzaal,Zaal,"Feest, Repetitie, Vergader, Vergader1",,,566
490986.864050872,6651472.21451378,100851,0000023174,Romanza,Polyvalente ruimte,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",70,70,567
490986.864050872,6651472.21451378,100852,0000023174,Romanza,Cafetaria,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",85,100,568
494611.697113112,6669105.389147,100853,0000008504,Hof Ter Delft,Veltwijck I,"Feest, Religiebeleving, Repetitie, Vergader, Vergader1",100,200,569
494611.697113112,6669105.389147,100854,0000008504,Hof Ter Delft,Veltwijck II,"Feest, Religiebeleving, Repetitie, Vergader, Vergader1",200,400,570
494611.697113112,6669105.389147,100855,0000008504,Hof Ter Delft,Veltwijck I en II,"Feest, Religiebeleving, Repetitie, Vergader, Vergader1",200,600,571
494611.697113112,6669105.389147,100856,0000008504,Hof Ter Delft,Orangerie,"Feest, Religiebeleving, Repetitie, Vergader, Vergader1",60,120,572
494611.697113112,6669105.389147,100857,0000008504,Hof Ter Delft,Bist,"Feest, Religiebeleving, Repetitie, Vergader, Vergader1",60,150,573
486808.936224945,6655092.91097259,100858,0000000719,NOVA,Bar,"Feest, Hobby, Repetitie, Vakantieactiviteit, Vergader, Vergader1",150,150,574
486808.936224945,6655092.91097259,100859,0000000719,NOVA,Leslokaal,"Feest, Hobby, Religiebeleving, Repetitie, Vakantieactiviteit, Vergader, Vergader1",20,20,575
