X,Y,OBJECTID,Straatnaam,Huisnummer,District,Postcode,Type,Start_Date,End_Date,GISID,Exploitant,AC_DC,Publiek,Autodelen,Taxi,Onst_Offst,NAAM,Opmerking
489888.24421917,6661352.18969244,210730,Sint-Pietersvliet,7,Antwerpen,2000,,,,OPLAADPT_6346,,AC,,,,parking,Sint-Pietersvliet 7,Parking Het Tolhuis
489888.24421917,6661352.18969244,210731,Sint-Pietersvliet,7,Antwerpen,2000,,,,OPLAADPT_6347,,AC,,,,parking,Sint-Pietersvliet 7,Parking Het Tolhuis
491182.091117436,6659711.18031976,210732,Hopland,38,Antwerpen,2000,,,,OPLAADPT_7155,,AC,,,,parking,Hopland 38,Parking Hopland
484240.518764202,6660143.31664391,210733,Blancefloerlaan,1,Antwerpen,2050,,,,OPLAADPT_8043,,AC,,,,parking,Blancefloerlaan 1,P R Linkeroever
484240.518764202,6660143.31664391,210734,Blancefloerlaan,1,Antwerpen,2050,,,,OPLAADPT_8044,,AC,,,,parking,Blancefloerlaan 1,P R Linkeroever
484240.518764202,6660143.31664391,210735,Blancefloerlaan,1,Antwerpen,2050,,,,OPLAADPT_8045,,AC,,,,parking,Blancefloerlaan 1,P R Linkeroever
484240.518764202,6660143.31664391,210736,Blancefloerlaan,1,Antwerpen,2050,,,,OPLAADPT_8046,,AC,,,,parking,Blancefloerlaan 1,P R Linkeroever
491951.212632094,6659635.97302029,210737,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8371,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210738,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8372,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210739,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8373,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210740,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8374,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210741,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8375,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210742,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8376,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210743,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8377,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210744,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8378,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210745,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8379,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210746,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8380,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210747,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8381,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210748,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8382,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210749,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8383,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210750,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8384,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210751,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8385,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210752,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8386,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210753,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8387,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210754,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8388,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210755,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8389,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210756,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8390,,AC,,,,parking,Vestingstraat 30,Parking Vesting
491951.212632094,6659635.97302029,210757,Vestingstraat,30,Antwerpen,2000,,,,OPLAADPT_8391,,AC,,,,parking,Vestingstraat 30,Parking Vesting
489961.849386744,6659875.60517088,210758,Lombardenvest,24,Antwerpen,2000,,,,OPLAADPT_8959,,AC,,,,parking,Lombardenvest 24,Parking Centrum
489961.849386744,6659875.60517088,210759,Lombardenvest,24,Antwerpen,2000,,,,OPLAADPT_8960,,AC,,,,parking,Lombardenvest 24,Parking Centrum
489961.849386744,6659875.60517088,210760,Lombardenvest,24,Antwerpen,2000,,,,OPLAADPT_8961,,AC,,,,parking,Lombardenvest 24,Parking Centrum
489961.849386744,6659875.60517088,210761,Lombardenvest,24,Antwerpen,2000,,,,OPLAADPT_8962,,AC,,,,parking,Lombardenvest 24,Parking Centrum
491952.407939877,6659665.98438538,210762,Vestingstraat,39,Antwerpen,2018,,,,OPLAADPT_7966,,AC,,,,parking,Vestingstraat 39,Parking Century Center
491952.407939877,6659665.98438538,210763,Vestingstraat,39,Antwerpen,2018,,,,OPLAADPT_7967,,AC,,,,parking,Vestingstraat 39,Parking Century Center
491725.891027824,6660075.36235416,210764,Van Ertbornstraat,13,Antwerpen,2018,,,,OPLAADPT_7951,,AC,,,,parking,Van Ertbornstraat 13,Parking De Keyser
491725.891027824,6660075.36235416,210765,Van Ertbornstraat,13,Antwerpen,2018,,,,OPLAADPT_7952,,AC,,,,parking,Van Ertbornstraat 13,Parking De Keyser
494709.598632054,6657353.35149614,210766,Frans De Vriendtstraat ,75,Borgerhout,2140,,20/07/2018,,OPLAADPT_6218,Blue Corner,AC,,,,straatparkeren,Frans De Vriendtstraat  75,
488240.272543757,6660573.28536472,210767,Frederik Van Eedenplein ,14,Antwerpen,2050,,28/10/2016,,OPLAADPT_6219,Blue Corner,AC,,,,straatparkeren,Frederik Van Eedenplein  14,
497274.109885497,6661737.68917113,210768,Gallifortlei ,266,Deurne,2100,,28/11/2018,,OPLAADPT_6220,Blue Corner,AC,,,,straatparkeren,Gallifortlei  266,
496670.936514839,6660460.74466062,210769,Gallifortlei ,27,Deurne,2100,,6/02/2019,,OPLAADPT_6221,Blue Corner,AC,,,,straatparkeren,Gallifortlei  27,
489503.958492282,6658666.62286243,210770,Geuzenstraat ,32,Antwerpen,2000,,23/11/2018,,OPLAADPT_6222,Blue Corner,AC,,,,straatparkeren,Geuzenstraat  32,
494752.470020893,6659445.71952133,210771,Gijselsstraat ,177,Borgerhout,2140,,13/12/2016,,OPLAADPT_6223,Blue Corner,AC,,,,straatparkeren,Gijselsstraat  177,
491985.360201052,6655863.30785866,210772,Grotesteenweg ,150,Berchem,2600,,13/10/2017,,OPLAADPT_6224,Blue Corner,AC,,,,straatparkeren,Grotesteenweg  150,
493514.944555404,6661701.72161048,210773,Halenstraat ,73,Antwerpen,2060,,7/05/2019,,OPLAADPT_6225,Blue Corner,AC,,,,straatparkeren,Halenstraat  73,
496736.023226289,6658248.37202538,210774,Herentalsebaan ,236,Deurne,2100,,12/07/2019,,OPLAADPT_6226,Blue Corner,AC,,,,straatparkeren,Herentalsebaan  236,
498418.789678804,6657583.7336087,210775,Herentalsebaan ,576,Deurne,2100,,26/07/2018,,OPLAADPT_6227,Blue Corner,AC,,,,straatparkeren,Herentalsebaan  576,
486227.97760056,6660076.57310599,210776,Hugues C. Pernathlaan ,22,Antwerpen,2050,,12/03/2020,,OPLAADPT_6228,Blue Corner,AC,,,,straatparkeren,Hugues C. Pernathlaan  22,
489516.319420021,6655316.19414114,210777,Jan Baptist Verlooystraat ,3,Antwerpen,2020,,17/10/2017,,OPLAADPT_6229,Blue Corner,AC,,,,straatparkeren,Jan Baptist Verlooystraat  3,
488035.133464123,6657874.14143293,210778,Jos Smolderenstraat ,16,Antwerpen,2000,,28/05/2018,,OPLAADPT_6230,Blue Corner,AC,,,,straatparkeren,Jos Smolderenstraat  16,
490905.085697935,6656140.02966623,210779,Karel Oomsstraat ,1,Antwerpen,2018,,12/10/2017,,OPLAADPT_6231,Blue Corner,AC,,,,straatparkeren,Karel Oomsstraat  1,
492549.179265097,6662391.40778136,210780,Viaduct-Dam,82,Antwerpen,2060,,30/01/2019,,OPLAADPT_6283,Blue Corner,AC,,,,straatparkeren,Viaduct-Dam 82,
495904.075390257,6665487.06826385,210781,Victor Roosensplein,41,Merksem,2170,,28/10/2016,,OPLAADPT_6284,Blue Corner,AC,,,,straatparkeren,Victor Roosensplein 41,
492678.825344032,6656092.36582137,210782,Vredestraat,112,Berchem,2600,,28/11/2018,,OPLAADPT_6285,Blue Corner,AC,,,,straatparkeren,Vredestraat 112,
497468.366241866,6662341.39869193,210783,Jan Welterslaan,12,Deurne,2100,,,,OPLAADPT_8121,Blue Corner,AC,,,,straatparkeren,Jan Welterslaan 12,
497468.366241866,6662341.39869193,210784,Jan Welterslaan,12,Deurne,2100,,,,OPLAADPT_8122,Blue Corner,AC,,,,straatparkeren,Jan Welterslaan 12,
487722.729756739,6655694.29101265,210785,Emile Vloorstraat,1,Antwerpen,2020,,,,OPLAADPT_8123,Blue Corner,AC,,,,straatparkeren,Emile Vloorstraat 1,
487722.729756739,6655694.29101265,210786,Emile Vloorstraat,1,Antwerpen,2020,,,,OPLAADPT_8124,Blue Corner,AC,,,,straatparkeren,Emile Vloorstraat 1,
490831.186915791,6658826.44596116,210787,Frankrijklei ,166,Antwerpen,,,,,OPLAADPT_9157,,AC,,,,parking,Frankrijklei  166,Parking Nationale Bank
490831.186915791,6658826.44596116,210788,Frankrijklei ,166,Antwerpen,,,,,OPLAADPT_9158,,AC,,,,parking,Frankrijklei  166,Parking Nationale Bank
490831.186915791,6658826.44596116,210789,Frankrijklei ,166,Antwerpen,,,,,OPLAADPT_9159,,AC,,,,parking,Frankrijklei  166,Parking Nationale Bank
491558.253844559,6659930.08833691,210790,Frankrijklei,,Antwerpen,2000,,,,OPLAADPT_6760,,AC,,,,parking,Frankrijklei ,Parking Opera
491558.253844559,6659930.08833691,210791,Frankrijklei,,Antwerpen,2000,,,,OPLAADPT_6761,,AC,,,,parking,Frankrijklei ,Parking Opera
491558.253844559,6659930.08833691,210792,Frankrijklei,,Antwerpen,2000,,,,OPLAADPT_6762,,AC,,,,parking,Frankrijklei ,Parking Opera
491558.253844559,6659930.08833691,210793,Frankrijklei,,Antwerpen,2000,,,,OPLAADPT_6763,,AC,,,,parking,Frankrijklei ,Parking Opera
491558.253844559,6659930.08833691,210794,Frankrijklei,,Antwerpen,2000,,,,OPLAADPT_6764,,AC,,,,parking,Frankrijklei ,Parking Opera
489503.958492282,6658666.62286243,210795,Geuzenstraat ,32,Antwerpen,2000,,23/11/2018,,OPLAADPT_8144,Blue Corner,AC,,,,straatparkeren,Geuzenstraat  32,
494752.470020893,6659445.71952133,210796,Gijselsstraat ,177,Borgerhout,2140,,13/12/2016,,OPLAADPT_8145,Blue Corner,AC,,,,straatparkeren,Gijselsstraat  177,
491985.360201052,6655863.30785866,210797,Grotesteenweg ,150,Berchem,2600,,13/10/2017,,OPLAADPT_8146,Blue Corner,AC,,,,straatparkeren,Grotesteenweg  150,
493514.944555404,6661701.72161048,210798,Halenstraat ,73,Antwerpen,2060,,7/05/2019,,OPLAADPT_8147,Blue Corner,AC,,,,straatparkeren,Halenstraat  73,
496736.023226289,6658248.37202538,210799,Herentalsebaan ,236,Deurne,2100,,12/07/2019,,OPLAADPT_8148,Blue Corner,AC,,,,straatparkeren,Herentalsebaan  236,
498418.789678804,6657583.7336087,210800,Herentalsebaan ,576,Deurne,2100,,26/07/2018,,OPLAADPT_8149,Blue Corner,AC,,,,straatparkeren,Herentalsebaan  576,
486227.97760056,6660076.57310599,210801,Hugues C. Pernathlaan ,22,Antwerpen,2050,,12/03/2020,,OPLAADPT_8150,Blue Corner,AC,,,,straatparkeren,Hugues C. Pernathlaan  22,
489516.319420021,6655316.19414114,210802,Jan Baptist Verlooystraat ,3,Antwerpen,2020,,17/10/2017,,OPLAADPT_8151,Blue Corner,AC,,,,straatparkeren,Jan Baptist Verlooystraat  3,
488035.133464123,6657874.14143293,210803,Jos Smolderenstraat ,16,Antwerpen,2000,,28/05/2018,,OPLAADPT_8152,Blue Corner,AC,,,,straatparkeren,Jos Smolderenstraat  16,
490905.085697935,6656140.02966623,210804,Karel Oomsstraat ,1,Antwerpen,2018,,12/10/2017,,OPLAADPT_8153,Blue Corner,AC,,,,straatparkeren,Karel Oomsstraat  1,
492398.465153528,6658813.55403451,210805,Van Immerseelstraat,2,Antwerpen,2000,,,,OPLAADPT_8936,,AC,,,,parking,Van Immerseelstraat 2,Parking Centraal
